,interest,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
3922,fitness and wellness,SO,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,690,18-24.0
3923,fitness and wellness,TN,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,27000,18-24.0
3924,fitness and wellness,AE,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,860,18-24.0
3925,fitness and wellness,YE,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,410,18-24.0
3926,fitness and wellness,PS,locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,440,18-24.0
3927,fitness and wellness,DZ,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,580,18-24.0
3929,fitness and wellness,EG,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,1900,18-24.0
3930,fitness and wellness,IQ,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,490,18-24.0
3931,fitness and wellness,JO,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,180,18-24.0
3932,fitness and wellness,KW,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,1100,18-24.0
3933,fitness and wellness,LB,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,150,18-24.0
3934,fitness and wellness,LY,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,90,18-24.0
3935,fitness and wellness,MA,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,1200,18-24.0
3936,fitness and wellness,OM,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,2100,18-24.0
3937,fitness and wellness,QA,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,5300,18-24.0
3938,fitness and wellness,SA,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,67000,18-24.0
3939,fitness and wellness,SO,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,130,18-24.0
3940,fitness and wellness,TN,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,220,18-24.0
3941,fitness and wellness,AE,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,16000,18-24.0
3942,fitness and wellness,YE,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,80,18-24.0
3943,fitness and wellness,PS,locals,Male,False,Indian,NOTSELECTED,24.0,18,GRAD,0,18-24.0
3944,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,3500,18-24.0
3946,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,2200,18-24.0
3947,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,2600,18-24.0
3948,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,440,18-24.0
3949,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,430,18-24.0
3950,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,900,18-24.0
3951,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,90,18-24.0
3952,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,7000,18-24.0
3953,fitness and wellness,OM,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,760,18-24.0
3954,fitness and wellness,QA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,2300,18-24.0
