,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
4923,18-24,2,Locals,Graduated,NOTSELECTED,230000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4924,25-44,2,Locals,Graduated,NOTSELECTED,300000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4925,45+,2,Locals,Graduated,NOTSELECTED,17000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4926,18-24,1,Locals,No Degree,NOTSELECTED,16000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4927,25-44,1,Locals,No Degree,NOTSELECTED,10000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4928,45+,1,Locals,No Degree,NOTSELECTED,700,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4929,18-24,2,Locals,No Degree,NOTSELECTED,14000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4930,25-44,2,Locals,No Degree,NOTSELECTED,6500,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4931,45+,2,Locals,No Degree,NOTSELECTED,970,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4932,18-24,1,Locals,High School,NOTSELECTED,110000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4933,25-44,1,Locals,High School,NOTSELECTED,99000,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
4934,45+,1,Locals,High School,NOTSELECTED,5800,1494418491,['facebook'],luxury goods,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
