,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
12773,45+,2,Expats,Graduated,NOTSELECTED,55000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12774,18-24,1,Expats,No Degree,NOTSELECTED,24000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12775,25-44,1,Expats,No Degree,NOTSELECTED,53000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12776,45+,1,Expats,No Degree,NOTSELECTED,5800,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12777,18-24,2,Expats,No Degree,NOTSELECTED,12000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12778,25-44,2,Expats,No Degree,NOTSELECTED,19000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12779,45+,2,Expats,No Degree,NOTSELECTED,1800,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12780,18-24,1,Expats,High School,NOTSELECTED,150000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12781,25-44,1,Expats,High School,NOTSELECTED,440000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12782,45+,1,Expats,High School,NOTSELECTED,58000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12783,18-24,2,Expats,High School,NOTSELECTED,59000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12784,25-44,2,Expats,High School,NOTSELECTED,130000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12785,45+,2,Expats,High School,NOTSELECTED,17000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12786,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,130000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12787,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,370000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12788,45+,1,Expats,UNSPECIFIED,NOTSELECTED,63000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12789,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,52000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12790,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,120000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12791,45+,2,Expats,UNSPECIFIED,NOTSELECTED,22000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12792,18-24,1,Locals,Graduated,NOTSELECTED,210000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12793,25-44,1,Locals,Graduated,NOTSELECTED,890000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12794,45+,1,Locals,Graduated,NOTSELECTED,110000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12795,18-24,2,Locals,Graduated,NOTSELECTED,73000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12796,25-44,2,Locals,Graduated,NOTSELECTED,240000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12797,45+,2,Locals,Graduated,NOTSELECTED,25000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12798,18-24,1,Locals,No Degree,NOTSELECTED,24000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12799,25-44,1,Locals,No Degree,NOTSELECTED,40000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12800,45+,1,Locals,No Degree,NOTSELECTED,4700,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12801,18-24,2,Locals,No Degree,NOTSELECTED,9600,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12802,25-44,2,Locals,No Degree,NOTSELECTED,11000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12803,45+,2,Locals,No Degree,NOTSELECTED,1000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12804,18-24,1,Locals,High School,NOTSELECTED,130000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12805,25-44,1,Locals,High School,NOTSELECTED,310000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12806,45+,1,Locals,High School,NOTSELECTED,42000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12807,18-24,2,Locals,High School,NOTSELECTED,61000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12808,25-44,2,Locals,High School,NOTSELECTED,83000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12809,45+,2,Locals,High School,NOTSELECTED,9600,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12810,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,1600000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12811,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,2900000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12812,45+,1,Locals,UNSPECIFIED,NOTSELECTED,460000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12813,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,470000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12814,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,610000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12815,45+,2,Locals,UNSPECIFIED,NOTSELECTED,100000,1494418491,['facebook'],luxury,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
12816,18-24,1,Expats,Graduated,NOTSELECTED,18000,1494418491,['facebook'],luxury,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
12817,25-44,1,Expats,Graduated,NOTSELECTED,19000,1494418491,['facebook'],luxury,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
