,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
4136,45+,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4137,18-24,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4138,25-44,2,Expats,No Degree,NOTSELECTED,90,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4139,45+,2,Expats,No Degree,NOTSELECTED,90,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4140,18-24,1,Expats,High School,NOTSELECTED,240,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4141,25-44,1,Expats,High School,NOTSELECTED,850,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4142,45+,1,Expats,High School,NOTSELECTED,400,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4143,18-24,2,Expats,High School,NOTSELECTED,100,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4144,25-44,2,Expats,High School,NOTSELECTED,1100,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4145,45+,2,Expats,High School,NOTSELECTED,620,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4146,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,710,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4147,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,2600,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4148,45+,1,Expats,UNSPECIFIED,NOTSELECTED,1100,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4149,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,190,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4150,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,1400,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4151,45+,2,Expats,UNSPECIFIED,NOTSELECTED,1000,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4152,18-24,1,Locals,Graduated,NOTSELECTED,70,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4153,25-44,1,Locals,Graduated,NOTSELECTED,440,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4154,45+,1,Locals,Graduated,NOTSELECTED,130,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4155,18-24,2,Locals,Graduated,NOTSELECTED,40,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4156,25-44,2,Locals,Graduated,NOTSELECTED,280,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4157,45+,2,Locals,Graduated,NOTSELECTED,80,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4158,18-24,1,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4159,25-44,1,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4160,45+,1,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
4161,18-24,2,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],diabetes awareness,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
