,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
12948,18-24,220000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12949,25-44,400000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12950,45+,59000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12951,18-24,260000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12952,25-44,300000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12953,45+,41000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12954,18-24,120000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12955,25-44,110000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12956,45+,14000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12957,18-24,120000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12958,25-44,68000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12959,45+,10000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12960,18-24,15000,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12961,25-44,22000,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12962,45+,3400,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12963,18-24,10000,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12964,25-44,11000,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12965,45+,1500,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,DZ
12966,18-24,13000,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12967,25-44,22000,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12968,45+,4400,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12969,18-24,9600,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12970,25-44,14000,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12971,45+,2400,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],luxury goods,DZ
12972,18-24,6500,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12973,25-44,6000,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12974,45+,1200,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12975,18-24,4700,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12976,25-44,3200,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12977,45+,650,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],luxury goods,DZ
12978,18-24,3600,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,BH
12979,25-44,24000,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,BH
12980,45+,3400,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,BH
12981,18-24,590,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,BH
12982,25-44,8500,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],luxury goods,BH
