,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
10787,45+,380,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10788,18-24,1400,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10789,25-44,2200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10790,45+,690,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10791,18-24,630,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10792,25-44,690,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10793,45+,360,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10794,18-24,1200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10795,25-44,920,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10796,45+,250,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10797,18-24,560,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10798,25-44,180,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10799,45+,100,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10800,18-24,23000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10801,25-44,59000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10802,45+,14000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10803,18-24,22000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10804,25-44,45000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10805,45+,7400,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10806,18-24,30000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10807,25-44,81000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10808,45+,24000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10809,18-24,26000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10810,25-44,52000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10811,45+,15000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10812,18-24,11000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10813,25-44,17000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10814,45+,5400,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10815,18-24,11000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10816,25-44,10000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10817,45+,3600,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10818,18-24,1800,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10819,25-44,3300,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10820,45+,1200,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10821,18-24,990,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10822,25-44,1800,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10823,45+,370,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,DZ
10824,18-24,1800,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10825,25-44,4300,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10826,45+,1400,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10827,18-24,1200,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10828,25-44,2500,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10829,45+,990,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,DZ
10830,18-24,860,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10831,25-44,840,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10832,45+,310,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10833,18-24,390,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10834,25-44,540,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10835,45+,260,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,DZ
10836,18-24,110,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10837,25-44,810,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10838,45+,330,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10839,18-24,40,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10840,25-44,390,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10841,45+,200,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10842,18-24,40,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10843,25-44,310,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10844,45+,260,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10845,18-24,0,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10846,25-44,130,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10847,45+,90,ALL,India,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10848,18-24,40,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10849,25-44,130,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10850,45+,140,ALL,India,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10851,18-24,30,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10852,25-44,30,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10853,45+,50,ALL,India,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10854,18-24,180,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10855,25-44,410,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10856,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10857,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10858,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10859,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10860,18-24,240,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10861,25-44,720,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10862,45+,90,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10863,18-24,30,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10864,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10865,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10866,18-24,40,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10867,25-44,130,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10868,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10869,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10870,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10871,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10872,18-24,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10873,25-44,80,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10874,45+,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10875,18-24,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10876,25-44,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10877,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10878,18-24,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10879,25-44,70,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10880,45+,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10881,18-24,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10882,25-44,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10883,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10884,18-24,0,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10885,25-44,0,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10886,45+,0,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10887,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10888,25-44,0,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10889,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10890,18-24,0,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10891,25-44,450,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10892,45+,250,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
