,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
245376,luxury,56000,YE,Locals,Female,False,ND,18-24
245377,luxury,86000,PS,Locals,Female,False,ND,18-24
245480,luxury,330000,DZ,Locals,Female,False,HS,18-24
245481,luxury,5100,BH,Locals,Female,False,HS,18-24
245482,luxury,1000000,EG,Locals,Female,False,HS,18-24
245483,luxury,260000,IQ,Locals,Female,False,HS,18-24
245484,luxury,150000,JO,Locals,Female,False,HS,18-24
245485,luxury,5400,KW,Locals,Female,False,HS,18-24
245486,luxury,71000,LB,Locals,Female,False,HS,18-24
245487,luxury,71000,LY,Locals,Female,False,HS,18-24
245488,luxury,290000,MA,Locals,Female,False,HS,18-24
245489,luxury,5400,OM,Locals,Female,False,HS,18-24
245490,luxury,5000,QA,Locals,Female,False,HS,18-24
245491,luxury,86000,SA,Locals,Female,False,HS,18-24
245492,luxury,11000,SO,Locals,Female,False,HS,18-24
245493,luxury,160000,TN,Locals,Female,False,HS,18-24
245494,luxury,18000,AE,Locals,Female,False,HS,18-24
245495,luxury,23000,YE,Locals,Female,False,HS,18-24
245496,luxury,59000,PS,Locals,Female,False,HS,18-24
251192,luxury,1300000,DZ,Locals,Male,False,GRAD,25-44
251193,luxury,30000,BH,Locals,Male,False,GRAD,25-44
251194,luxury,3800000,EG,Locals,Male,False,GRAD,25-44
251195,luxury,1600000,IQ,Locals,Male,False,GRAD,25-44
251196,luxury,380000,JO,Locals,Male,False,GRAD,25-44
251197,luxury,52000,KW,Locals,Male,False,GRAD,25-44
251198,luxury,180000,LB,Locals,Male,False,GRAD,25-44
251199,luxury,300000,LY,Locals,Male,False,GRAD,25-44
251200,luxury,1100000,MA,Locals,Male,False,GRAD,25-44
251201,luxury,67000,OM,Locals,Male,False,GRAD,25-44
251202,luxury,55000,QA,Locals,Male,False,GRAD,25-44
251203,luxury,1200000,SA,Locals,Male,False,GRAD,25-44
251204,luxury,54000,SO,Locals,Male,False,GRAD,25-44
251205,luxury,570000,TN,Locals,Male,False,GRAD,25-44
251206,luxury,190000,AE,Locals,Male,False,GRAD,25-44
251207,luxury,280000,YE,Locals,Male,False,GRAD,25-44
251208,luxury,130000,PS,Locals,Male,False,GRAD,25-44
251311,luxury,2500000,DZ,Locals,Male,False,ND,25-44
251312,luxury,59000,BH,Locals,Male,False,ND,25-44
251313,luxury,3900000,EG,Locals,Male,False,ND,25-44
251314,luxury,2000000,IQ,Locals,Male,False,ND,25-44
251315,luxury,420000,JO,Locals,Male,False,ND,25-44
251316,luxury,160000,KW,Locals,Male,False,ND,25-44
251317,luxury,300000,LB,Locals,Male,False,ND,25-44
251318,luxury,390000,LY,Locals,Male,False,ND,25-44
251319,luxury,1600000,MA,Locals,Male,False,ND,25-44
251320,luxury,140000,OM,Locals,Male,False,ND,25-44
251321,luxury,120000,QA,Locals,Male,False,ND,25-44
251322,luxury,3100000,SA,Locals,Male,False,ND,25-44
251323,luxury,78000,SO,Locals,Male,False,ND,25-44
251324,luxury,680000,TN,Locals,Male,False,ND,25-44
251325,luxury,410000,AE,Locals,Male,False,ND,25-44
251326,luxury,330000,YE,Locals,Male,False,ND,25-44
251327,luxury,95000,PS,Locals,Male,False,ND,25-44
251430,luxury,390000,DZ,Locals,Male,False,HS,25-44
251431,luxury,9300,BH,Locals,Male,False,HS,25-44
251432,luxury,930000,EG,Locals,Male,False,HS,25-44
251433,luxury,480000,IQ,Locals,Male,False,HS,25-44
251434,luxury,120000,JO,Locals,Male,False,HS,25-44
251435,luxury,16000,KW,Locals,Male,False,HS,25-44
251436,luxury,54000,LB,Locals,Male,False,HS,25-44
251437,luxury,71000,LY,Locals,Male,False,HS,25-44
251438,luxury,300000,MA,Locals,Male,False,HS,25-44
251439,luxury,20000,OM,Locals,Male,False,HS,25-44
251440,luxury,15000,QA,Locals,Male,False,HS,25-44
251441,luxury,390000,SA,Locals,Male,False,HS,25-44
251442,luxury,11000,SO,Locals,Male,False,HS,25-44
251443,luxury,180000,TN,Locals,Male,False,HS,25-44
251444,luxury,48000,AE,Locals,Male,False,HS,25-44
251445,luxury,84000,YE,Locals,Male,False,HS,25-44
251446,luxury,33000,PS,Locals,Male,False,HS,25-44
252382,luxury,610000,DZ,Locals,Female,False,GRAD,25-44
252383,luxury,16000,BH,Locals,Female,False,GRAD,25-44
252384,luxury,2000000,EG,Locals,Female,False,GRAD,25-44
252385,luxury,390000,IQ,Locals,Female,False,GRAD,25-44
252386,luxury,240000,JO,Locals,Female,False,GRAD,25-44
252387,luxury,27000,KW,Locals,Female,False,GRAD,25-44
252388,luxury,170000,LB,Locals,Female,False,GRAD,25-44
252389,luxury,170000,LY,Locals,Female,False,GRAD,25-44
252390,luxury,460000,MA,Locals,Female,False,GRAD,25-44
252391,luxury,15000,OM,Locals,Female,False,GRAD,25-44
252392,luxury,21000,QA,Locals,Female,False,GRAD,25-44
252393,luxury,310000,SA,Locals,Female,False,GRAD,25-44
252394,luxury,16000,SO,Locals,Female,False,GRAD,25-44
252395,luxury,430000,TN,Locals,Female,False,GRAD,25-44
252396,luxury,72000,AE,Locals,Female,False,GRAD,25-44
