,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
38191,health care,2300,OM,Locals,Female,False,GRAD,25-44
38192,health care,3500,QA,Locals,Female,False,GRAD,25-44
38193,health care,71000,SA,Locals,Female,False,GRAD,25-44
38194,health care,1400,SO,Locals,Female,False,GRAD,25-44
38195,health care,94000,TN,Locals,Female,False,GRAD,25-44
38196,health care,11000,AE,Locals,Female,False,GRAD,25-44
38197,health care,5800,YE,Locals,Female,False,GRAD,25-44
38198,health care,14000,PS,Locals,Female,False,GRAD,25-44
38301,health care,49000,DZ,Locals,Female,False,ND,25-44
38302,health care,1600,BH,Locals,Female,False,ND,25-44
38303,health care,210000,EG,Locals,Female,False,ND,25-44
38304,health care,48000,IQ,Locals,Female,False,ND,25-44
38305,health care,41000,JO,Locals,Female,False,ND,25-44
38306,health care,3000,KW,Locals,Female,False,ND,25-44
38307,health care,20000,LB,Locals,Female,False,ND,25-44
38308,health care,27000,LY,Locals,Female,False,ND,25-44
38309,health care,69000,MA,Locals,Female,False,ND,25-44
38310,health care,1900,OM,Locals,Female,False,ND,25-44
38311,health care,1800,QA,Locals,Female,False,ND,25-44
38312,health care,80000,SA,Locals,Female,False,ND,25-44
38313,health care,900,SO,Locals,Female,False,ND,25-44
38314,health care,47000,TN,Locals,Female,False,ND,25-44
38315,health care,8100,AE,Locals,Female,False,ND,25-44
38316,health care,2900,YE,Locals,Female,False,ND,25-44
38317,health care,6300,PS,Locals,Female,False,ND,25-44
38420,health care,14000,DZ,Locals,Female,False,HS,25-44
38421,health care,580,BH,Locals,Female,False,HS,25-44
38422,health care,87000,EG,Locals,Female,False,HS,25-44
38423,health care,18000,IQ,Locals,Female,False,HS,25-44
38424,health care,18000,JO,Locals,Female,False,HS,25-44
38425,health care,1100,KW,Locals,Female,False,HS,25-44
38426,health care,6400,LB,Locals,Female,False,HS,25-44
38427,health care,9000,LY,Locals,Female,False,HS,25-44
38428,health care,20000,MA,Locals,Female,False,HS,25-44
38429,health care,470,OM,Locals,Female,False,HS,25-44
38430,health care,810,QA,Locals,Female,False,HS,25-44
38431,health care,20000,SA,Locals,Female,False,HS,25-44
38432,health care,280,SO,Locals,Female,False,HS,25-44
38433,health care,22000,TN,Locals,Female,False,HS,25-44
38434,health care,2600,AE,Locals,Female,False,HS,25-44
38435,health care,1400,YE,Locals,Female,False,HS,25-44
38436,health care,3300,PS,Locals,Female,False,HS,25-44
40562,health care,9000,DZ,Locals,Male,False,GRAD,45+
40563,health care,570,BH,Locals,Male,False,GRAD,45+
40564,health care,98000,EG,Locals,Male,False,GRAD,45+
40565,health care,22000,IQ,Locals,Male,False,GRAD,45+
40566,health care,17000,JO,Locals,Male,False,GRAD,45+
40567,health care,1100,KW,Locals,Male,False,GRAD,45+
40568,health care,4700,LB,Locals,Male,False,GRAD,45+
40569,health care,6500,LY,Locals,Male,False,GRAD,45+
40570,health care,31000,MA,Locals,Male,False,GRAD,45+
40571,health care,760,OM,Locals,Male,False,GRAD,45+
40572,health care,540,QA,Locals,Male,False,GRAD,45+
40573,health care,29000,SA,Locals,Male,False,GRAD,45+
40574,health care,200,SO,Locals,Male,False,GRAD,45+
40575,health care,8900,TN,Locals,Male,False,GRAD,45+
40576,health care,2100,AE,Locals,Male,False,GRAD,45+
40577,health care,3400,YE,Locals,Male,False,GRAD,45+
40578,health care,2100,PS,Locals,Male,False,GRAD,45+
40681,health care,11000,DZ,Locals,Male,False,ND,45+
40682,health care,780,BH,Locals,Male,False,ND,45+
40683,health care,85000,EG,Locals,Male,False,ND,45+
40684,health care,27000,IQ,Locals,Male,False,ND,45+
40685,health care,21000,JO,Locals,Male,False,ND,45+
40686,health care,1700,KW,Locals,Male,False,ND,45+
40687,health care,6000,LB,Locals,Male,False,ND,45+
40688,health care,6000,LY,Locals,Male,False,ND,45+
40689,health care,48000,MA,Locals,Male,False,ND,45+
40690,health care,770,OM,Locals,Male,False,ND,45+
40691,health care,640,QA,Locals,Male,False,ND,45+
40692,health care,69000,SA,Locals,Male,False,ND,45+
40693,health care,170,SO,Locals,Male,False,ND,45+
40694,health care,6000,TN,Locals,Male,False,ND,45+
40695,health care,2500,AE,Locals,Male,False,ND,45+
40696,health care,3000,YE,Locals,Male,False,ND,45+
40697,health care,1400,PS,Locals,Male,False,ND,45+
40800,health care,3100,DZ,Locals,Male,False,HS,45+
40801,health care,220,BH,Locals,Male,False,HS,45+
40802,health care,23000,EG,Locals,Male,False,HS,45+
40803,health care,6900,IQ,Locals,Male,False,HS,45+
40804,health care,6500,JO,Locals,Male,False,HS,45+
40805,health care,270,KW,Locals,Male,False,HS,45+
40806,health care,1300,LB,Locals,Male,False,HS,45+
40807,health care,1800,LY,Locals,Male,False,HS,45+
40808,health care,11000,MA,Locals,Male,False,HS,45+
40809,health care,210,OM,Locals,Male,False,HS,45+
40810,health care,160,QA,Locals,Male,False,HS,45+
40811,health care,10000,SA,Locals,Male,False,HS,45+
40812,health care,70,SO,Locals,Male,False,HS,45+
40813,health care,3100,TN,Locals,Male,False,HS,45+
40814,health care,630,AE,Locals,Male,False,HS,45+
40815,health care,920,YE,Locals,Male,False,HS,45+
40816,health care,620,PS,Locals,Male,False,HS,45+
41752,health care,6600,DZ,Locals,Female,False,GRAD,45+
41753,health care,280,BH,Locals,Female,False,GRAD,45+
41754,health care,70000,EG,Locals,Female,False,GRAD,45+
41755,health care,8900,IQ,Locals,Female,False,GRAD,45+
41756,health care,9800,JO,Locals,Female,False,GRAD,45+
41757,health care,470,KW,Locals,Female,False,GRAD,45+
41758,health care,5600,LB,Locals,Female,False,GRAD,45+
41759,health care,4400,LY,Locals,Female,False,GRAD,45+
41760,health care,12000,MA,Locals,Female,False,GRAD,45+
41761,health care,170,OM,Locals,Female,False,GRAD,45+
41762,health care,310,QA,Locals,Female,False,GRAD,45+
41763,health care,8900,SA,Locals,Female,False,GRAD,45+
41764,health care,210,SO,Locals,Female,False,GRAD,45+
41765,health care,9900,TN,Locals,Female,False,GRAD,45+
41766,health care,1300,AE,Locals,Female,False,GRAD,45+
41767,health care,460,YE,Locals,Female,False,GRAD,45+
41768,health care,1200,PS,Locals,Female,False,GRAD,45+
41871,health care,8300,DZ,Locals,Female,False,ND,45+
41872,health care,380,BH,Locals,Female,False,ND,45+
41873,health care,82000,EG,Locals,Female,False,ND,45+
41874,health care,14000,IQ,Locals,Female,False,ND,45+
41875,health care,18000,JO,Locals,Female,False,ND,45+
41876,health care,800,KW,Locals,Female,False,ND,45+
41877,health care,11000,LB,Locals,Female,False,ND,45+
41878,health care,7600,LY,Locals,Female,False,ND,45+
41879,health care,19000,MA,Locals,Female,False,ND,45+
41880,health care,240,OM,Locals,Female,False,ND,45+
41881,health care,360,QA,Locals,Female,False,ND,45+
41882,health care,18000,SA,Locals,Female,False,ND,45+
41883,health care,90,SO,Locals,Female,False,ND,45+
41884,health care,9500,TN,Locals,Female,False,ND,45+
41885,health care,1600,AE,Locals,Female,False,ND,45+
41886,health care,510,YE,Locals,Female,False,ND,45+
41887,health care,2000,PS,Locals,Female,False,ND,45+
41990,health care,2500,DZ,Locals,Female,False,HS,45+
41991,health care,60,BH,Locals,Female,False,HS,45+
41992,health care,15000,EG,Locals,Female,False,HS,45+
41993,health care,2700,IQ,Locals,Female,False,HS,45+
41994,health care,4300,JO,Locals,Female,False,HS,45+
41995,health care,170,KW,Locals,Female,False,HS,45+
41996,health care,1900,LB,Locals,Female,False,HS,45+
41997,health care,1500,LY,Locals,Female,False,HS,45+
41998,health care,4900,MA,Locals,Female,False,HS,45+
41999,health care,70,OM,Locals,Female,False,HS,45+
42000,health care,140,QA,Locals,Female,False,HS,45+
42001,health care,3100,SA,Locals,Female,False,HS,45+
42002,health care,60,SO,Locals,Female,False,HS,45+
42003,health care,4600,TN,Locals,Female,False,HS,45+
42004,health care,500,AE,Locals,Female,False,HS,45+
42005,health care,170,YE,Locals,Female,False,HS,45+
42006,health care,590,PS,Locals,Female,False,HS,45+
101252,luxury goods,240000,DZ,Locals,Male,False,GRAD,18-24
101253,luxury goods,4900,BH,Locals,Male,False,GRAD,18-24
101254,luxury goods,780000,EG,Locals,Male,False,GRAD,18-24
101255,luxury goods,140000,IQ,Locals,Male,False,GRAD,18-24
101256,luxury goods,100000,JO,Locals,Male,False,GRAD,18-24
101257,luxury goods,4700,KW,Locals,Male,False,GRAD,18-24
101258,luxury goods,39000,LB,Locals,Male,False,GRAD,18-24
101259,luxury goods,33000,LY,Locals,Male,False,GRAD,18-24
101260,luxury goods,300000,MA,Locals,Male,False,GRAD,18-24
101261,luxury goods,11000,OM,Locals,Male,False,GRAD,18-24
101262,luxury goods,8400,QA,Locals,Male,False,GRAD,18-24
101263,luxury goods,130000,SA,Locals,Male,False,GRAD,18-24
101264,luxury goods,2900,SO,Locals,Male,False,GRAD,18-24
101265,luxury goods,120000,TN,Locals,Male,False,GRAD,18-24
101266,luxury goods,25000,AE,Locals,Male,False,GRAD,18-24
101267,luxury goods,11000,YE,Locals,Male,False,GRAD,18-24
101268,luxury goods,21000,PS,Locals,Male,False,GRAD,18-24
101371,luxury goods,210000,DZ,Locals,Male,False,ND,18-24
101372,luxury goods,8000,BH,Locals,Male,False,ND,18-24
101373,luxury goods,400000,EG,Locals,Male,False,ND,18-24
101374,luxury goods,130000,IQ,Locals,Male,False,ND,18-24
101375,luxury goods,83000,JO,Locals,Male,False,ND,18-24
101376,luxury goods,14000,KW,Locals,Male,False,ND,18-24
101377,luxury goods,56000,LB,Locals,Male,False,ND,18-24
101378,luxury goods,22000,LY,Locals,Male,False,ND,18-24
101379,luxury goods,190000,MA,Locals,Male,False,ND,18-24
101380,luxury goods,19000,OM,Locals,Male,False,ND,18-24
101381,luxury goods,11000,QA,Locals,Male,False,ND,18-24
101382,luxury goods,640000,SA,Locals,Male,False,ND,18-24
101383,luxury goods,2300,SO,Locals,Male,False,ND,18-24
101384,luxury goods,87000,TN,Locals,Male,False,ND,18-24
101385,luxury goods,40000,AE,Locals,Male,False,ND,18-24
101386,luxury goods,6100,YE,Locals,Male,False,ND,18-24
101387,luxury goods,7700,PS,Locals,Male,False,ND,18-24
101490,luxury goods,110000,DZ,Locals,Male,False,HS,18-24
101491,luxury goods,2700,BH,Locals,Male,False,HS,18-24
101492,luxury goods,490000,EG,Locals,Male,False,HS,18-24
101493,luxury goods,99000,IQ,Locals,Male,False,HS,18-24
101494,luxury goods,83000,JO,Locals,Male,False,HS,18-24
101495,luxury goods,2700,KW,Locals,Male,False,HS,18-24
101496,luxury goods,32000,LB,Locals,Male,False,HS,18-24
101497,luxury goods,20000,LY,Locals,Male,False,HS,18-24
101498,luxury goods,130000,MA,Locals,Male,False,HS,18-24
101499,luxury goods,5500,OM,Locals,Male,False,HS,18-24
101500,luxury goods,3000,QA,Locals,Male,False,HS,18-24
101501,luxury goods,74000,SA,Locals,Male,False,HS,18-24
101502,luxury goods,980,SO,Locals,Male,False,HS,18-24
101503,luxury goods,59000,TN,Locals,Male,False,HS,18-24
101504,luxury goods,9200,AE,Locals,Male,False,HS,18-24
101505,luxury goods,6700,YE,Locals,Male,False,HS,18-24
101506,luxury goods,13000,PS,Locals,Male,False,HS,18-24
102442,luxury goods,220000,DZ,Locals,Female,False,GRAD,18-24
102443,luxury goods,3000,BH,Locals,Female,False,GRAD,18-24
102444,luxury goods,670000,EG,Locals,Female,False,GRAD,18-24
102445,luxury goods,82000,IQ,Locals,Female,False,GRAD,18-24
102446,luxury goods,76000,JO,Locals,Female,False,GRAD,18-24
102447,luxury goods,2500,KW,Locals,Female,False,GRAD,18-24
102448,luxury goods,51000,LB,Locals,Female,False,GRAD,18-24
102449,luxury goods,39000,LY,Locals,Female,False,GRAD,18-24
102450,luxury goods,310000,MA,Locals,Female,False,GRAD,18-24
102451,luxury goods,3400,OM,Locals,Female,False,GRAD,18-24
102452,luxury goods,3200,QA,Locals,Female,False,GRAD,18-24
102453,luxury goods,52000,SA,Locals,Female,False,GRAD,18-24
102454,luxury goods,3500,SO,Locals,Female,False,GRAD,18-24
102455,luxury goods,170000,TN,Locals,Female,False,GRAD,18-24
102456,luxury goods,10000,AE,Locals,Female,False,GRAD,18-24
102457,luxury goods,4400,YE,Locals,Female,False,GRAD,18-24
102458,luxury goods,24000,PS,Locals,Female,False,GRAD,18-24
102561,luxury goods,220000,DZ,Locals,Female,False,ND,18-24
102562,luxury goods,4700,BH,Locals,Female,False,ND,18-24
