,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
138387,shopping,37000,LY,Locals,Female,False,HS,25-44
138388,shopping,130000,MA,Locals,Female,False,HS,25-44
138389,shopping,3700,OM,Locals,Female,False,HS,25-44
138390,shopping,5200,QA,Locals,Female,False,HS,25-44
138391,shopping,99000,SA,Locals,Female,False,HS,25-44
138392,shopping,3300,SO,Locals,Female,False,HS,25-44
138393,shopping,110000,TN,Locals,Female,False,HS,25-44
138394,shopping,16000,AE,Locals,Female,False,HS,25-44
138395,shopping,8800,YE,Locals,Female,False,HS,25-44
138396,shopping,23000,PS,Locals,Female,False,HS,25-44
140522,shopping,120000,DZ,Locals,Male,False,GRAD,45+
140523,shopping,4400,BH,Locals,Male,False,GRAD,45+
140524,shopping,520000,EG,Locals,Male,False,GRAD,45+
140525,shopping,190000,IQ,Locals,Male,False,GRAD,45+
140526,shopping,67000,JO,Locals,Male,False,GRAD,45+
140527,shopping,7800,KW,Locals,Male,False,GRAD,45+
140528,shopping,46000,LB,Locals,Male,False,GRAD,45+
140529,shopping,41000,LY,Locals,Male,False,GRAD,45+
140530,shopping,130000,MA,Locals,Male,False,GRAD,45+
140531,shopping,4100,OM,Locals,Male,False,GRAD,45+
140532,shopping,4600,QA,Locals,Male,False,GRAD,45+
140533,shopping,120000,SA,Locals,Male,False,GRAD,45+
140534,shopping,2900,SO,Locals,Male,False,GRAD,45+
140535,shopping,110000,TN,Locals,Male,False,GRAD,45+
140536,shopping,15000,AE,Locals,Male,False,GRAD,45+
140537,shopping,16000,YE,Locals,Male,False,GRAD,45+
140538,shopping,18000,PS,Locals,Male,False,GRAD,45+
140641,shopping,220000,DZ,Locals,Male,False,ND,45+
140642,shopping,8300,BH,Locals,Male,False,ND,45+
140643,shopping,710000,EG,Locals,Male,False,ND,45+
140644,shopping,340000,IQ,Locals,Male,False,ND,45+
140645,shopping,110000,JO,Locals,Male,False,ND,45+
140646,shopping,19000,KW,Locals,Male,False,ND,45+
140647,shopping,99000,LB,Locals,Male,False,ND,45+
140648,shopping,54000,LY,Locals,Male,False,ND,45+
140649,shopping,230000,MA,Locals,Male,False,ND,45+
140650,shopping,8600,OM,Locals,Male,False,ND,45+
140651,shopping,9400,QA,Locals,Male,False,ND,45+
140652,shopping,390000,SA,Locals,Male,False,ND,45+
140653,shopping,5400,SO,Locals,Male,False,ND,45+
140654,shopping,130000,TN,Locals,Male,False,ND,45+
140655,shopping,32000,AE,Locals,Male,False,ND,45+
140656,shopping,21000,YE,Locals,Male,False,ND,45+
140657,shopping,19000,PS,Locals,Male,False,ND,45+
140760,shopping,45000,DZ,Locals,Male,False,HS,45+
140761,shopping,1400,BH,Locals,Male,False,HS,45+
140762,shopping,140000,EG,Locals,Male,False,HS,45+
140763,shopping,66000,IQ,Locals,Male,False,HS,45+
140764,shopping,26000,JO,Locals,Male,False,HS,45+
