,age_range,gender,citizenship,scholarity,audience,topic,country_code
7508,45+,Male,Locals,Graduated,5700,stroke heart disease,JO
7509,18-24,Female,Locals,Graduated,2400,stroke heart disease,JO
7510,25-44,Female,Locals,Graduated,7800,stroke heart disease,JO
7511,45+,Female,Locals,Graduated,2400,stroke heart disease,JO
7512,18-24,Male,Locals,No Degree,5500,stroke heart disease,JO
7513,25-44,Male,Locals,No Degree,14000,stroke heart disease,JO
7514,45+,Male,Locals,No Degree,9600,stroke heart disease,JO
7515,18-24,Female,Locals,No Degree,3200,stroke heart disease,JO
7516,25-44,Female,Locals,No Degree,7400,stroke heart disease,JO
7517,45+,Female,Locals,No Degree,5600,stroke heart disease,JO
7518,18-24,Male,Locals,High School,3600,stroke heart disease,JO
7519,25-44,Male,Locals,High School,4000,stroke heart disease,JO
7520,45+,Male,Locals,High School,2400,stroke heart disease,JO
7521,18-24,Female,Locals,High School,2500,stroke heart disease,JO
7522,25-44,Female,Locals,High School,2300,stroke heart disease,JO
7523,45+,Female,Locals,High School,1100,stroke heart disease,JO
7524,18-24,Male,Expats,Graduated,920,stroke heart disease,KW
7525,25-44,Male,Expats,Graduated,9700,stroke heart disease,KW
7526,45+,Male,Expats,Graduated,1400,stroke heart disease,KW
7527,18-24,Female,Expats,Graduated,260,stroke heart disease,KW
7528,25-44,Female,Expats,Graduated,5200,stroke heart disease,KW
7529,45+,Female,Expats,Graduated,1800,stroke heart disease,KW
7530,18-24,Male,Expats,No Degree,2600,stroke heart disease,KW
7531,25-44,Male,Expats,No Degree,11000,stroke heart disease,KW
7532,45+,Male,Expats,No Degree,2600,stroke heart disease,KW
7533,18-24,Female,Expats,No Degree,450,stroke heart disease,KW
7534,25-44,Female,Expats,No Degree,2900,stroke heart disease,KW
7535,45+,Female,Expats,No Degree,1000,stroke heart disease,KW
7536,18-24,Male,Expats,High School,440,stroke heart disease,KW
7537,25-44,Male,Expats,High School,3100,stroke heart disease,KW
7538,45+,Male,Expats,High School,450,stroke heart disease,KW
7539,18-24,Female,Expats,High School,220,stroke heart disease,KW
7540,25-44,Female,Expats,High School,1800,stroke heart disease,KW
7541,45+,Female,Expats,High School,750,stroke heart disease,KW
7542,18-24,Male,Locals,Graduated,150,stroke heart disease,KW
7543,25-44,Male,Locals,Graduated,670,stroke heart disease,KW
7544,45+,Male,Locals,Graduated,160,stroke heart disease,KW
7545,18-24,Female,Locals,Graduated,90,stroke heart disease,KW
7546,25-44,Female,Locals,Graduated,630,stroke heart disease,KW
7547,45+,Female,Locals,Graduated,210,stroke heart disease,KW
7548,18-24,Male,Locals,No Degree,1200,stroke heart disease,KW
7549,25-44,Male,Locals,No Degree,2200,stroke heart disease,KW
7550,45+,Male,Locals,No Degree,410,stroke heart disease,KW
7551,18-24,Female,Locals,No Degree,270,stroke heart disease,KW
7552,25-44,Female,Locals,No Degree,900,stroke heart disease,KW
7553,45+,Female,Locals,No Degree,250,stroke heart disease,KW
7554,18-24,Male,Locals,High School,80,stroke heart disease,KW
7555,25-44,Male,Locals,High School,230,stroke heart disease,KW
