,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
2237,45+,40000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2238,18-24,580000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2239,25-44,930000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2240,45+,160000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2241,18-24,410000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2242,25-44,510000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2243,45+,88000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2244,18-24,230000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2245,25-44,210000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2246,45+,34000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2247,18-24,160000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2248,25-44,95000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2249,45+,18000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2250,18-24,32000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2251,25-44,49000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2252,45+,8000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2253,18-24,15000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2254,25-44,18000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2255,45+,2800,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2256,18-24,35000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2257,25-44,60000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2258,45+,13000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2259,18-24,17000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2260,25-44,26000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2261,45+,5500,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2262,18-24,13000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
