,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
12960,18-24,14000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12961,25-44,22000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12962,45+,3100,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12963,18-24,9500,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12964,25-44,11000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12965,45+,1500,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,DZ
12966,18-24,12000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12967,25-44,21000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12968,45+,4100,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12969,18-24,9000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12970,25-44,14000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12971,45+,2400,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,DZ
12972,18-24,6200,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12973,25-44,5800,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12974,45+,1200,ALL,Others,1.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12975,18-24,4400,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12976,25-44,3000,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12977,45+,620,ALL,Others,2.0,NOTSELECTED,High School,1489924519,luxury goods,DZ
12978,18-24,3800,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12979,25-44,25000,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12980,45+,3500,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12981,18-24,730,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12982,25-44,8500,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12983,45+,930,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12984,18-24,3400,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
