,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
6542,45+,1700,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6543,18-24,5000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6544,25-44,9000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6545,45+,1900,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,obesity,DZ
6546,18-24,2100,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6547,25-44,2000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6548,45+,460,ALL,Others,1.0,NOTSELECTED,High School,1489924519,obesity,DZ
6549,18-24,1700,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6550,25-44,1500,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6551,45+,300,ALL,Others,2.0,NOTSELECTED,High School,1489924519,obesity,DZ
6552,18-24,880,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6553,25-44,5500,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6554,45+,700,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6555,18-24,170,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6556,25-44,3300,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6557,45+,410,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6558,18-24,540,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6559,25-44,2800,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6560,45+,630,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6561,18-24,100,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6562,25-44,870,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6563,45+,220,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6564,18-24,350,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6565,25-44,1200,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6566,45+,300,ALL,India,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6567,18-24,130,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6568,25-44,410,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6569,45+,90,ALL,India,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6570,18-24,990,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6571,25-44,2600,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6572,45+,50,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6573,18-24,30,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6574,25-44,100,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6575,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6576,18-24,1600,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6577,25-44,4300,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6578,45+,250,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6579,18-24,200,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6580,25-44,290,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6581,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6582,18-24,430,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6583,25-44,880,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6584,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6585,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6586,25-44,50,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6587,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6588,18-24,50,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6589,25-44,350,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6590,45+,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6591,18-24,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6592,25-44,130,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6593,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6594,18-24,90,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6595,25-44,330,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6596,45+,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6597,18-24,30,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6598,25-44,110,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6599,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6600,18-24,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6601,25-44,90,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6602,45+,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6603,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6604,25-44,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6605,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6606,18-24,170,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6607,25-44,1200,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6608,45+,270,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6609,18-24,360,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6610,25-44,6400,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6611,45+,1300,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6612,18-24,50,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6613,25-44,270,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6614,45+,90,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6615,18-24,150,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6616,25-44,2000,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6617,45+,810,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6618,18-24,40,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6619,25-44,250,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6620,45+,70,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6621,18-24,100,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6622,25-44,2000,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6623,45+,540,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6624,18-24,30,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
