,ages_ranges,genders,behavior,scholarities,audience,topic,location
6504,18-24,1.0,Locals,No Degree,240,Social Moviment,Nebraska
6505,25-44,1.0,Locals,No Degree,400,Social Moviment,Nebraska
6506,45+,1.0,Locals,No Degree,420,Social Moviment,Nebraska
6507,18-24,2.0,Locals,No Degree,180,Social Moviment,Nebraska
6508,25-44,2.0,Locals,No Degree,640,Social Moviment,Nebraska
6509,45+,2.0,Locals,No Degree,870,Social Moviment,Nebraska
6510,18-24,1.0,Locals,High School,600,Social Moviment,Nebraska
6511,25-44,1.0,Locals,High School,1000,Social Moviment,Nebraska
6512,45+,1.0,Locals,High School,700,Social Moviment,Nebraska
6513,18-24,2.0,Locals,High School,970,Social Moviment,Nebraska
6514,25-44,2.0,Locals,High School,1700,Social Moviment,Nebraska
6515,45+,2.0,Locals,High School,1400,Social Moviment,Nebraska
6516,18-24,1.0,Expats,Graduated,170,Social Moviment,Nevada
6517,25-44,1.0,Expats,Graduated,690,Social Moviment,Nevada
6518,45+,1.0,Expats,Graduated,500,Social Moviment,Nevada
6519,18-24,2.0,Expats,Graduated,130,Social Moviment,Nevada
6520,25-44,2.0,Expats,Graduated,740,Social Moviment,Nevada
6521,45+,2.0,Expats,Graduated,510,Social Moviment,Nevada
6522,18-24,1.0,Expats,No Degree,70,Social Moviment,Nevada
6523,25-44,1.0,Expats,No Degree,290,Social Moviment,Nevada
6524,45+,1.0,Expats,No Degree,220,Social Moviment,Nevada
6525,18-24,2.0,Expats,No Degree,60,Social Moviment,Nevada
6526,25-44,2.0,Expats,No Degree,340,Social Moviment,Nevada
6527,45+,2.0,Expats,No Degree,300,Social Moviment,Nevada
6528,18-24,1.0,Expats,High School,120,Social Moviment,Nevada
6529,25-44,1.0,Expats,High School,320,Social Moviment,Nevada
6530,45+,1.0,Expats,High School,110,Social Moviment,Nevada
6531,18-24,2.0,Expats,High School,180,Social Moviment,Nevada
6532,25-44,2.0,Expats,High School,280,Social Moviment,Nevada
6533,45+,2.0,Expats,High School,200,Social Moviment,Nevada
6534,18-24,1.0,Locals,Graduated,510,Social Moviment,Nevada
