,ages_ranges,genders,behavior,scholarities,audience,topic,location
2056,25-44,2.0,Expats,Graduated,2100,Peace,Connecticut
2057,45+,2.0,Expats,Graduated,1700,Peace,Connecticut
2058,18-24,1.0,Expats,No Degree,230,Peace,Connecticut
2059,25-44,1.0,Expats,No Degree,810,Peace,Connecticut
2060,45+,1.0,Expats,No Degree,570,Peace,Connecticut
2061,18-24,2.0,Expats,No Degree,220,Peace,Connecticut
2062,25-44,2.0,Expats,No Degree,1100,Peace,Connecticut
2063,45+,2.0,Expats,No Degree,1200,Peace,Connecticut
2064,18-24,1.0,Expats,High School,230,Peace,Connecticut
2065,25-44,1.0,Expats,High School,610,Peace,Connecticut
2066,45+,1.0,Expats,High School,270,Peace,Connecticut
2067,18-24,2.0,Expats,High School,370,Peace,Connecticut
2068,25-44,2.0,Expats,High School,960,Peace,Connecticut
2069,45+,2.0,Expats,High School,780,Peace,Connecticut
2070,18-24,1.0,Locals,Graduated,650,Peace,Connecticut
2071,25-44,1.0,Locals,Graduated,3000,Peace,Connecticut
2072,45+,1.0,Locals,Graduated,4200,Peace,Connecticut
2073,18-24,2.0,Locals,Graduated,1400,Peace,Connecticut
2074,25-44,2.0,Locals,Graduated,11000,Peace,Connecticut
2075,45+,2.0,Locals,Graduated,16000,Peace,Connecticut
2076,18-24,1.0,Locals,No Degree,200,Peace,Connecticut
2077,25-44,1.0,Locals,No Degree,690,Peace,Connecticut
2078,45+,1.0,Locals,No Degree,1400,Peace,Connecticut
2079,18-24,2.0,Locals,No Degree,590,Peace,Connecticut
2080,25-44,2.0,Locals,No Degree,2300,Peace,Connecticut
2081,45+,2.0,Locals,No Degree,5300,Peace,Connecticut
2082,18-24,1.0,Locals,High School,790,Peace,Connecticut
2083,25-44,1.0,Locals,High School,1700,Peace,Connecticut
2084,45+,1.0,Locals,High School,2500,Peace,Connecticut
2085,18-24,2.0,Locals,High School,2900,Peace,Connecticut
2086,25-44,2.0,Locals,High School,5400,Peace,Connecticut
2087,45+,2.0,Locals,High School,8700,Peace,Connecticut
2088,18-24,1.0,Expats,Graduated,90,Peace,Delaware
2089,25-44,1.0,Expats,Graduated,190,Peace,Delaware
2090,45+,1.0,Expats,Graduated,150,Peace,Delaware
2091,18-24,2.0,Expats,Graduated,40,Peace,Delaware
2092,25-44,2.0,Expats,Graduated,330,Peace,Delaware
2093,45+,2.0,Expats,Graduated,180,Peace,Delaware
2094,18-24,1.0,Expats,No Degree,40,Peace,Delaware
2095,25-44,1.0,Expats,No Degree,180,Peace,Delaware
2096,45+,1.0,Expats,No Degree,20,Peace,Delaware
2097,18-24,2.0,Expats,No Degree,40,Peace,Delaware
2098,25-44,2.0,Expats,No Degree,170,Peace,Delaware
2099,45+,2.0,Expats,No Degree,150,Peace,Delaware
2100,18-24,1.0,Expats,High School,30,Peace,Delaware
2101,25-44,1.0,Expats,High School,130,Peace,Delaware
2102,45+,1.0,Expats,High School,30,Peace,Delaware
2103,18-24,2.0,Expats,High School,50,Peace,Delaware
2104,25-44,2.0,Expats,High School,110,Peace,Delaware
2105,45+,2.0,Expats,High School,90,Peace,Delaware
