,access_device,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
10675,iOS,25-44,420,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
10676,iOS,45+,60,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
10677,iOS,18-24,0,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
10678,iOS,25-44,60,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
10679,iOS,45+,0,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
10680,iOS,18-24,0,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10681,iOS,25-44,60,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10682,iOS,45+,0,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10683,iOS,18-24,0,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10684,iOS,25-44,0,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10685,iOS,45+,0,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489064001,cars vehicles,West Bay
10686,iOS,18-24,0,ALL,Not Expats,1.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10687,iOS,25-44,0,ALL,Not Expats,1.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10688,iOS,45+,0,ALL,Not Expats,1.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10689,iOS,18-24,0,ALL,Not Expats,2.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10690,iOS,25-44,0,ALL,Not Expats,2.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10691,iOS,45+,0,ALL,Not Expats,2.0,NOTSELECTED,High School,1489064001,cars vehicles,West Bay
10692,iOS,18-24,0,ALL,Others,1.0,NOTSELECTED,Graduated,1489064001,cars vehicles,West Bay
