,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
31903,fitness and wellness,PS,Expats,Female,False,SE Asia,NOTSELECTED,44.0,25,ND,0,25-44
31904,fitness and wellness,DZ,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,39500,25-44
31905,fitness and wellness,EG,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,160000,25-44
31906,fitness and wellness,IQ,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,41500,25-44
31907,fitness and wellness,JO,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,36000,25-44
31908,fitness and wellness,KW,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,4600,25-44
31909,fitness and wellness,LB,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,20500,25-44
31910,fitness and wellness,LY,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,15000,25-44
31911,fitness and wellness,MA,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,49500,25-44
31912,fitness and wellness,OM,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,1050,25-44
31913,fitness and wellness,QA,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,2750,25-44
31914,fitness and wellness,SA,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,25500,25-44
31915,fitness and wellness,SO,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,650,25-44
31916,fitness and wellness,TN,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,44000,25-44
31917,fitness and wellness,AE,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,10000,25-44
31918,fitness and wellness,YE,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,2750,25-44
31919,fitness and wellness,PS,Expats,Female,False,Arabic,NOTSELECTED,44.0,25,HS,9500,25-44
31920,fitness and wellness,DZ,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,4550,25-44
31921,fitness and wellness,EG,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,50000,25-44
31922,fitness and wellness,IQ,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,11500,25-44
31923,fitness and wellness,JO,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,13500,25-44
31924,fitness and wellness,KW,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,24500,25-44
31925,fitness and wellness,LB,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,23000,25-44
31926,fitness and wellness,LY,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,3050,25-44
31927,fitness and wellness,MA,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,8500,25-44
31928,fitness and wellness,OM,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,4150,25-44
31929,fitness and wellness,QA,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,14500,25-44
31930,fitness and wellness,SA,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,55000,25-44
31931,fitness and wellness,SO,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,1100,25-44
31932,fitness and wellness,TN,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,7500,25-44
31933,fitness and wellness,AE,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,55000,25-44
31934,fitness and wellness,YE,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,850,25-44
31935,fitness and wellness,PS,Expats,Female,False,English,NOTSELECTED,44.0,25,HS,2050,25-44
31936,fitness and wellness,DZ,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,1050,25-44
31937,fitness and wellness,EG,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,1800,25-44
31938,fitness and wellness,IQ,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,200,25-44
31939,fitness and wellness,JO,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,310,25-44
31940,fitness and wellness,KW,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,270,25-44
31941,fitness and wellness,LB,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,850,25-44
31942,fitness and wellness,LY,Expats,Female,False,European,NOTSELECTED,44.0,25,HS,105,25-44
