,age_range,gender,citizenship,scholarity,audience,topic,country_code
2045,45+,Female,Locals,No Degree,1300,obesity,KW
2046,18-24,Male,Locals,High School,580,obesity,KW
2047,25-44,Male,Locals,High School,1400,obesity,KW
2048,45+,Male,Locals,High School,170,obesity,KW
2049,18-24,Female,Locals,High School,700,obesity,KW
2050,25-44,Female,Locals,High School,1600,obesity,KW
2051,45+,Female,Locals,High School,260,obesity,KW
2052,18-24,Male,Expats,Graduated,4000,obesity,LB
2053,25-44,Male,Expats,Graduated,8200,obesity,LB
2054,45+,Male,Expats,Graduated,1500,obesity,LB
2055,18-24,Female,Expats,Graduated,2700,obesity,LB
2056,25-44,Female,Expats,Graduated,9500,obesity,LB
2057,45+,Female,Expats,Graduated,3100,obesity,LB
2058,18-24,Male,Expats,No Degree,5100,obesity,LB
2059,25-44,Male,Expats,No Degree,8400,obesity,LB
2060,45+,Male,Expats,No Degree,1700,obesity,LB
2061,18-24,Female,Expats,No Degree,3000,obesity,LB
2062,25-44,Female,Expats,No Degree,7400,obesity,LB
2063,45+,Female,Expats,No Degree,4000,obesity,LB
2064,18-24,Male,Expats,High School,2400,obesity,LB
2065,25-44,Male,Expats,High School,2700,obesity,LB
2066,45+,Male,Expats,High School,480,obesity,LB
2067,18-24,Female,Expats,High School,2600,obesity,LB
2068,25-44,Female,Expats,High School,3400,obesity,LB
2069,45+,Female,Expats,High School,860,obesity,LB
2070,18-24,Male,Locals,Graduated,13000,obesity,LB
2071,25-44,Male,Locals,Graduated,25000,obesity,LB
2072,45+,Male,Locals,Graduated,7100,obesity,LB
2073,18-24,Female,Locals,Graduated,23000,obesity,LB
2074,25-44,Female,Locals,Graduated,58000,obesity,LB
2075,45+,Female,Locals,Graduated,15000,obesity,LB
2076,18-24,Male,Locals,No Degree,18000,obesity,LB
2077,25-44,Male,Locals,No Degree,24000,obesity,LB
2078,45+,Male,Locals,No Degree,12000,obesity,LB
2079,18-24,Female,Locals,No Degree,23000,obesity,LB
2080,25-44,Female,Locals,No Degree,48000,obesity,LB
2081,45+,Female,Locals,No Degree,33000,obesity,LB
2082,18-24,Male,Locals,High School,9600,obesity,LB
2083,25-44,Male,Locals,High School,7400,obesity,LB
2084,45+,Male,Locals,High School,2400,obesity,LB
2085,18-24,Female,Locals,High School,23000,obesity,LB
2086,25-44,Female,Locals,High School,15000,obesity,LB
2087,45+,Female,Locals,High School,5200,obesity,LB
2088,18-24,Male,Expats,Graduated,3900,obesity,LY
2089,25-44,Male,Expats,Graduated,11000,obesity,LY
2090,45+,Male,Expats,Graduated,1800,obesity,LY
2091,18-24,Female,Expats,Graduated,1600,obesity,LY
2092,25-44,Female,Expats,Graduated,5600,obesity,LY
2093,45+,Female,Expats,Graduated,1300,obesity,LY
2094,18-24,Male,Expats,No Degree,5300,obesity,LY
2095,25-44,Male,Expats,No Degree,13000,obesity,LY
2096,45+,Male,Expats,No Degree,2000,obesity,LY
2097,18-24,Female,Expats,No Degree,1600,obesity,LY
2098,25-44,Female,Expats,No Degree,5100,obesity,LY
2099,45+,Female,Expats,No Degree,1800,obesity,LY
2100,18-24,Male,Expats,High School,1900,obesity,LY
2101,25-44,Male,Expats,High School,3200,obesity,LY
2102,45+,Male,Expats,High School,470,obesity,LY
2103,18-24,Female,Expats,High School,1100,obesity,LY
2104,25-44,Female,Expats,High School,1600,obesity,LY
2105,45+,Female,Expats,High School,480,obesity,LY
2106,18-24,Male,Locals,Graduated,25000,obesity,LY
2107,25-44,Male,Locals,Graduated,54000,obesity,LY
2108,45+,Male,Locals,Graduated,9600,obesity,LY
2109,18-24,Female,Locals,Graduated,27000,obesity,LY
2110,25-44,Female,Locals,Graduated,60000,obesity,LY
2111,45+,Female,Locals,Graduated,8900,obesity,LY
2112,18-24,Male,Locals,No Degree,31000,obesity,LY
2113,25-44,Male,Locals,No Degree,60000,obesity,LY
2114,45+,Male,Locals,No Degree,15000,obesity,LY
2115,18-24,Female,Locals,No Degree,31000,obesity,LY
2116,25-44,Female,Locals,No Degree,69000,obesity,LY
2117,45+,Female,Locals,No Degree,22000,obesity,LY
2118,18-24,Male,Locals,High School,15000,obesity,LY
2119,25-44,Male,Locals,High School,13000,obesity,LY
2120,45+,Male,Locals,High School,2900,obesity,LY
2121,18-24,Female,Locals,High School,20000,obesity,LY
2122,25-44,Female,Locals,High School,15000,obesity,LY
2123,45+,Female,Locals,High School,3000,obesity,LY
2124,18-24,Male,Expats,Graduated,20000,obesity,MA
2125,25-44,Male,Expats,Graduated,12000,obesity,MA
2126,45+,Male,Expats,Graduated,1400,obesity,MA
2127,18-24,Female,Expats,Graduated,7800,obesity,MA
2128,25-44,Female,Expats,Graduated,7700,obesity,MA
2129,45+,Female,Expats,Graduated,1400,obesity,MA
2130,18-24,Male,Expats,No Degree,6200,obesity,MA
2131,25-44,Male,Expats,No Degree,7400,obesity,MA
2132,45+,Male,Expats,No Degree,1300,obesity,MA
2133,18-24,Female,Expats,No Degree,4500,obesity,MA
2134,25-44,Female,Expats,No Degree,6300,obesity,MA
2135,45+,Female,Expats,No Degree,1500,obesity,MA
2136,18-24,Male,Expats,High School,6900,obesity,MA
2137,25-44,Male,Expats,High School,3200,obesity,MA
2138,45+,Male,Expats,High School,440,obesity,MA
2139,18-24,Female,Expats,High School,3400,obesity,MA
2140,25-44,Female,Expats,High School,2100,obesity,MA
2141,45+,Female,Expats,High School,550,obesity,MA
2142,18-24,Male,Locals,Graduated,130000,obesity,MA
2143,25-44,Male,Locals,Graduated,110000,obesity,MA
2144,45+,Male,Locals,Graduated,11000,obesity,MA
2145,18-24,Female,Locals,Graduated,93000,obesity,MA
2146,25-44,Female,Locals,Graduated,83000,obesity,MA
2147,45+,Female,Locals,Graduated,12000,obesity,MA
2148,18-24,Male,Locals,No Degree,120000,obesity,MA
2149,25-44,Male,Locals,No Degree,130000,obesity,MA
2150,45+,Male,Locals,No Degree,21000,obesity,MA
2151,18-24,Female,Locals,No Degree,110000,obesity,MA
