,age_range,gender,citizenship,scholarity,audience,topic,country_code
8132,45+,Male,Locals,High School,2400,back pain,JO
8133,18-24,Female,Locals,High School,4500,back pain,JO
8134,25-44,Female,Locals,High School,5100,back pain,JO
8135,45+,Female,Locals,High School,1500,back pain,JO
8136,18-24,Male,Expats,Graduated,580,back pain,KW
8137,25-44,Male,Expats,Graduated,4900,back pain,KW
8138,45+,Male,Expats,Graduated,890,back pain,KW
8139,18-24,Female,Expats,Graduated,220,back pain,KW
8140,25-44,Female,Expats,Graduated,5500,back pain,KW
8141,45+,Female,Expats,Graduated,1500,back pain,KW
8142,18-24,Male,Expats,No Degree,950,back pain,KW
8143,25-44,Male,Expats,No Degree,4400,back pain,KW
8144,45+,Male,Expats,No Degree,1100,back pain,KW
8145,18-24,Female,Expats,No Degree,270,back pain,KW
8146,25-44,Female,Expats,No Degree,4000,back pain,KW
8147,45+,Female,Expats,No Degree,1400,back pain,KW
8148,18-24,Male,Expats,High School,230,back pain,KW
8149,25-44,Male,Expats,High School,1500,back pain,KW
8150,45+,Male,Expats,High School,260,back pain,KW
8151,18-24,Female,Expats,High School,110,back pain,KW
8152,25-44,Female,Expats,High School,2300,back pain,KW
8153,45+,Female,Expats,High School,610,back pain,KW
8154,18-24,Male,Locals,Graduated,40,back pain,KW
8155,25-44,Male,Locals,Graduated,450,back pain,KW
8156,45+,Male,Locals,Graduated,50,back pain,KW
8157,18-24,Female,Locals,Graduated,20,back pain,KW
8158,25-44,Female,Locals,Graduated,160,back pain,KW
8159,45+,Female,Locals,Graduated,40,back pain,KW
8160,18-24,Male,Locals,No Degree,70,back pain,KW
8161,25-44,Male,Locals,No Degree,440,back pain,KW
8162,45+,Male,Locals,No Degree,90,back pain,KW
8163,18-24,Female,Locals,No Degree,20,back pain,KW
8164,25-44,Female,Locals,No Degree,160,back pain,KW
8165,45+,Female,Locals,No Degree,50,back pain,KW
8166,18-24,Male,Locals,High School,20,back pain,KW
8167,25-44,Male,Locals,High School,120,back pain,KW
8168,45+,Male,Locals,High School,20,back pain,KW
8169,18-24,Female,Locals,High School,20,back pain,KW
8170,25-44,Female,Locals,High School,30,back pain,KW
8171,45+,Female,Locals,High School,20,back pain,KW
8172,18-24,Male,Expats,Graduated,460,back pain,LB
8173,25-44,Male,Expats,Graduated,780,back pain,LB
8174,45+,Male,Expats,Graduated,180,back pain,LB
8175,18-24,Female,Expats,Graduated,100,back pain,LB
8176,25-44,Female,Expats,Graduated,380,back pain,LB
8177,45+,Female,Expats,Graduated,160,back pain,LB
8178,18-24,Male,Expats,No Degree,640,back pain,LB
8179,25-44,Male,Expats,No Degree,970,back pain,LB
8180,45+,Male,Expats,No Degree,330,back pain,LB
8181,18-24,Female,Expats,No Degree,210,back pain,LB
8182,25-44,Female,Expats,No Degree,460,back pain,LB
8183,45+,Female,Expats,No Degree,260,back pain,LB
8184,18-24,Male,Expats,High School,260,back pain,LB
8185,25-44,Male,Expats,High School,290,back pain,LB
8186,45+,Male,Expats,High School,70,back pain,LB
8187,18-24,Female,Expats,High School,130,back pain,LB
8188,25-44,Female,Expats,High School,160,back pain,LB
8189,45+,Female,Expats,High School,70,back pain,LB
8190,18-24,Male,Locals,Graduated,1300,back pain,LB
8191,25-44,Male,Locals,Graduated,2600,back pain,LB
8192,45+,Male,Locals,Graduated,1100,back pain,LB
8193,18-24,Female,Locals,Graduated,910,back pain,LB
8194,25-44,Female,Locals,Graduated,1800,back pain,LB
8195,45+,Female,Locals,Graduated,710,back pain,LB
8196,18-24,Male,Locals,No Degree,2000,back pain,LB
8197,25-44,Male,Locals,No Degree,2900,back pain,LB
8198,45+,Male,Locals,No Degree,2300,back pain,LB
8199,18-24,Female,Locals,No Degree,1200,back pain,LB
8200,25-44,Female,Locals,No Degree,2500,back pain,LB
8201,45+,Female,Locals,No Degree,1900,back pain,LB
8202,18-24,Male,Locals,High School,1100,back pain,LB
8203,25-44,Male,Locals,High School,780,back pain,LB
8204,45+,Male,Locals,High School,340,back pain,LB
8205,18-24,Female,Locals,High School,1100,back pain,LB
8206,25-44,Female,Locals,High School,560,back pain,LB
8207,45+,Female,Locals,High School,280,back pain,LB
8208,18-24,Male,Expats,Graduated,410,back pain,LY
8209,25-44,Male,Expats,Graduated,1200,back pain,LY
8210,45+,Male,Expats,Graduated,310,back pain,LY
8211,18-24,Female,Expats,Graduated,150,back pain,LY
8212,25-44,Female,Expats,Graduated,420,back pain,LY
8213,45+,Female,Expats,Graduated,120,back pain,LY
8214,18-24,Male,Expats,No Degree,1100,back pain,LY
8215,25-44,Male,Expats,No Degree,2200,back pain,LY
8216,45+,Male,Expats,No Degree,610,back pain,LY
8217,18-24,Female,Expats,No Degree,200,back pain,LY
8218,25-44,Female,Expats,No Degree,590,back pain,LY
8219,45+,Female,Expats,No Degree,300,back pain,LY
8220,18-24,Male,Expats,High School,160,back pain,LY
