,age_range,gender,citizenship,scholarity,audience,topic,country_code
4502,45+,Male,Expats,Graduated,1900,cars vehicles,LB
4503,18-24,Female,Expats,Graduated,2100,cars vehicles,LB
4504,25-44,Female,Expats,Graduated,8200,cars vehicles,LB
4505,45+,Female,Expats,Graduated,1500,cars vehicles,LB
4506,18-24,Male,Expats,No Degree,5800,cars vehicles,LB
4507,25-44,Male,Expats,No Degree,9900,cars vehicles,LB
4508,45+,Male,Expats,No Degree,2000,cars vehicles,LB
4509,18-24,Female,Expats,No Degree,3100,cars vehicles,LB
4510,25-44,Female,Expats,No Degree,6500,cars vehicles,LB
4511,45+,Female,Expats,No Degree,1500,cars vehicles,LB
4512,18-24,Male,Expats,High School,4600,cars vehicles,LB
4513,25-44,Male,Expats,High School,4800,cars vehicles,LB
4514,45+,Male,Expats,High School,690,cars vehicles,LB
4515,18-24,Female,Expats,High School,2000,cars vehicles,LB
4516,25-44,Female,Expats,High School,3100,cars vehicles,LB
4517,45+,Female,Expats,High School,580,cars vehicles,LB
4518,18-24,Male,Locals,Graduated,28000,cars vehicles,LB
4519,25-44,Male,Locals,Graduated,53000,cars vehicles,LB
4520,45+,Male,Locals,Graduated,11000,cars vehicles,LB
4521,18-24,Female,Locals,Graduated,16000,cars vehicles,LB
4522,25-44,Female,Locals,Graduated,40000,cars vehicles,LB
4523,45+,Female,Locals,Graduated,6000,cars vehicles,LB
4524,18-24,Male,Locals,No Degree,32000,cars vehicles,LB
4525,25-44,Male,Locals,No Degree,43000,cars vehicles,LB
4526,45+,Male,Locals,No Degree,17000,cars vehicles,LB
4527,18-24,Female,Locals,No Degree,15000,cars vehicles,LB
4528,25-44,Female,Locals,No Degree,32000,cars vehicles,LB
4529,45+,Female,Locals,No Degree,12000,cars vehicles,LB
4530,18-24,Male,Locals,High School,22000,cars vehicles,LB
4531,25-44,Male,Locals,High School,16000,cars vehicles,LB
4532,45+,Male,Locals,High School,3600,cars vehicles,LB
4533,18-24,Female,Locals,High School,15000,cars vehicles,LB
4534,25-44,Female,Locals,High School,11000,cars vehicles,LB
4535,45+,Female,Locals,High School,2200,cars vehicles,LB
4536,18-24,Male,Expats,Graduated,4400,cars vehicles,LY
4537,25-44,Male,Expats,Graduated,11000,cars vehicles,LY
4538,45+,Male,Expats,Graduated,1100,cars vehicles,LY
4539,18-24,Female,Expats,Graduated,660,cars vehicles,LY
4540,25-44,Female,Expats,Graduated,1400,cars vehicles,LY
4541,45+,Female,Expats,Graduated,180,cars vehicles,LY
4542,18-24,Male,Expats,No Degree,2900,cars vehicles,LY
4543,25-44,Male,Expats,No Degree,6100,cars vehicles,LY
4544,45+,Male,Expats,No Degree,840,cars vehicles,LY
4545,18-24,Female,Expats,No Degree,230,cars vehicles,LY
4546,25-44,Female,Expats,No Degree,660,cars vehicles,LY
4547,45+,Female,Expats,No Degree,150,cars vehicles,LY
4548,18-24,Male,Expats,High School,2300,cars vehicles,LY
4549,25-44,Male,Expats,High School,2800,cars vehicles,LY
4550,45+,Male,Expats,High School,290,cars vehicles,LY
4551,18-24,Female,Expats,High School,680,cars vehicles,LY
4552,25-44,Female,Expats,High School,250,cars vehicles,LY
4553,45+,Female,Expats,High School,60,cars vehicles,LY
4554,18-24,Male,Locals,Graduated,35000,cars vehicles,LY
4555,25-44,Male,Locals,Graduated,65000,cars vehicles,LY
4556,45+,Male,Locals,Graduated,6500,cars vehicles,LY
4557,18-24,Female,Locals,Graduated,9800,cars vehicles,LY
4558,25-44,Female,Locals,Graduated,16000,cars vehicles,LY
4559,45+,Female,Locals,Graduated,1400,cars vehicles,LY
4560,18-24,Male,Locals,No Degree,19000,cars vehicles,LY
4561,25-44,Male,Locals,No Degree,35000,cars vehicles,LY
4562,45+,Male,Locals,No Degree,5900,cars vehicles,LY
4563,18-24,Female,Locals,No Degree,4700,cars vehicles,LY
4564,25-44,Female,Locals,No Degree,6700,cars vehicles,LY
4565,45+,Female,Locals,No Degree,1600,cars vehicles,LY
4566,18-24,Male,Locals,High School,21000,cars vehicles,LY
4567,25-44,Male,Locals,High School,15000,cars vehicles,LY
4568,45+,Male,Locals,High School,1800,cars vehicles,LY
4569,18-24,Female,Locals,High School,9300,cars vehicles,LY
4570,25-44,Female,Locals,High School,3900,cars vehicles,LY
4571,45+,Female,Locals,High School,430,cars vehicles,LY
4572,18-24,Male,Expats,Graduated,45000,cars vehicles,MA
4573,25-44,Male,Expats,Graduated,33000,cars vehicles,MA
4574,45+,Male,Expats,Graduated,3300,cars vehicles,MA
4575,18-24,Female,Expats,Graduated,6600,cars vehicles,MA
4576,25-44,Female,Expats,Graduated,4700,cars vehicles,MA
4577,45+,Female,Expats,Graduated,590,cars vehicles,MA
4578,18-24,Male,Expats,No Degree,13000,cars vehicles,MA
4579,25-44,Male,Expats,No Degree,13000,cars vehicles,MA
4580,45+,Male,Expats,No Degree,2000,cars vehicles,MA
4581,18-24,Female,Expats,No Degree,2600,cars vehicles,MA
4582,25-44,Female,Expats,No Degree,2600,cars vehicles,MA
4583,45+,Female,Expats,No Degree,530,cars vehicles,MA
4584,18-24,Male,Expats,High School,16000,cars vehicles,MA
4585,25-44,Male,Expats,High School,8400,cars vehicles,MA
4586,45+,Male,Expats,High School,990,cars vehicles,MA
4587,18-24,Female,Expats,High School,2800,cars vehicles,MA
4588,25-44,Female,Expats,High School,1200,cars vehicles,MA
4589,45+,Female,Expats,High School,230,cars vehicles,MA
4590,18-24,Male,Locals,Graduated,280000,cars vehicles,MA
4591,25-44,Male,Locals,Graduated,270000,cars vehicles,MA
4592,45+,Male,Locals,Graduated,23000,cars vehicles,MA
4593,18-24,Female,Locals,Graduated,75000,cars vehicles,MA
