,age_range,gender,citizenship,scholarity,audience,topic,country_code
74,45+,Male,Expats,Graduated,46000,NOTSELECTED,EG
75,18-24,Female,Expats,Graduated,64000,NOTSELECTED,EG
76,25-44,Female,Expats,Graduated,100000,NOTSELECTED,EG
77,45+,Female,Expats,Graduated,16000,NOTSELECTED,EG
78,18-24,Male,Expats,No Degree,120000,NOTSELECTED,EG
79,25-44,Male,Expats,No Degree,200000,NOTSELECTED,EG
80,45+,Male,Expats,No Degree,44000,NOTSELECTED,EG
81,18-24,Female,Expats,No Degree,69000,NOTSELECTED,EG
82,25-44,Female,Expats,No Degree,85000,NOTSELECTED,EG
83,45+,Female,Expats,No Degree,21000,NOTSELECTED,EG
84,18-24,Male,Expats,High School,71000,NOTSELECTED,EG
85,25-44,Male,Expats,High School,61000,NOTSELECTED,EG
86,45+,Male,Expats,High School,11000,NOTSELECTED,EG
87,18-24,Female,Expats,High School,42000,NOTSELECTED,EG
88,25-44,Female,Expats,High School,26000,NOTSELECTED,EG
89,45+,Female,Expats,High School,5300,NOTSELECTED,EG
90,18-24,Male,Locals,Graduated,2400000,NOTSELECTED,EG
91,25-44,Male,Locals,Graduated,4000000,NOTSELECTED,EG
92,45+,Male,Locals,Graduated,670000,NOTSELECTED,EG
93,18-24,Female,Locals,Graduated,1600000,NOTSELECTED,EG
94,25-44,Female,Locals,Graduated,2100000,NOTSELECTED,EG
95,45+,Female,Locals,Graduated,290000,NOTSELECTED,EG
96,18-24,Male,Locals,No Degree,3100000,NOTSELECTED,EG
97,25-44,Male,Locals,No Degree,4500000,NOTSELECTED,EG
98,45+,Male,Locals,No Degree,1200000,NOTSELECTED,EG
99,18-24,Female,Locals,No Degree,2000000,NOTSELECTED,EG
100,25-44,Female,Locals,No Degree,2100000,NOTSELECTED,EG
101,45+,Female,Locals,No Degree,610000,NOTSELECTED,EG
102,18-24,Male,Locals,High School,1300000,NOTSELECTED,EG
103,25-44,Male,Locals,High School,980000,NOTSELECTED,EG
104,45+,Male,Locals,High School,180000,NOTSELECTED,EG
105,18-24,Female,Locals,High School,1100000,NOTSELECTED,EG
106,25-44,Female,Locals,High School,420000,NOTSELECTED,EG
107,45+,Female,Locals,High School,72000,NOTSELECTED,EG
108,18-24,Male,Expats,Graduated,100000,NOTSELECTED,IQ
