,age_range,gender,citizenship,scholarity,audience,topic,country_code
5015,45+,Female,Expats,No Degree,5500,shopping,IQ
5016,18-24,Male,Expats,High School,38000,shopping,IQ
5017,25-44,Male,Expats,High School,42000,shopping,IQ
5018,45+,Male,Expats,High School,5900,shopping,IQ
5019,18-24,Female,Expats,High School,14000,shopping,IQ
5020,25-44,Female,Expats,High School,9500,shopping,IQ
5021,45+,Female,Expats,High School,1300,shopping,IQ
5022,18-24,Male,Locals,Graduated,720000,shopping,IQ
5023,25-44,Male,Locals,Graduated,1400000,shopping,IQ
5024,45+,Male,Locals,Graduated,200000,shopping,IQ
5025,18-24,Female,Locals,Graduated,230000,shopping,IQ
5026,25-44,Female,Locals,Graduated,350000,shopping,IQ
5027,45+,Female,Locals,Graduated,54000,shopping,IQ
5028,18-24,Male,Locals,No Degree,1400000,shopping,IQ
5029,25-44,Male,Locals,No Degree,1600000,shopping,IQ
5030,45+,Male,Locals,No Degree,380000,shopping,IQ
5031,18-24,Female,Locals,No Degree,570000,shopping,IQ
5032,25-44,Female,Locals,No Degree,560000,shopping,IQ
5033,45+,Female,Locals,No Degree,140000,shopping,IQ
5034,18-24,Male,Locals,High School,460000,shopping,IQ
5035,25-44,Male,Locals,High School,430000,shopping,IQ
5036,45+,Male,Locals,High School,69000,shopping,IQ
5037,18-24,Female,Locals,High School,210000,shopping,IQ
5038,25-44,Female,Locals,High School,120000,shopping,IQ
5039,45+,Female,Locals,High School,19000,shopping,IQ
5040,18-24,Male,Expats,Graduated,58000,shopping,JO
5041,25-44,Male,Expats,Graduated,130000,shopping,JO
5042,45+,Male,Expats,Graduated,21000,shopping,JO
5043,18-24,Female,Expats,Graduated,35000,shopping,JO
5044,25-44,Female,Expats,Graduated,74000,shopping,JO
5045,45+,Female,Expats,Graduated,16000,shopping,JO
5046,18-24,Male,Expats,No Degree,80000,shopping,JO
5047,25-44,Male,Expats,No Degree,130000,shopping,JO
5048,45+,Male,Expats,No Degree,29000,shopping,JO
5049,18-24,Female,Expats,No Degree,48000,shopping,JO
5050,25-44,Female,Expats,No Degree,66000,shopping,JO
5051,45+,Female,Expats,No Degree,25000,shopping,JO
5052,18-24,Male,Expats,High School,45000,shopping,JO
5053,25-44,Male,Expats,High School,41000,shopping,JO
5054,45+,Male,Expats,High School,7400,shopping,JO
5055,18-24,Female,Expats,High School,41000,shopping,JO
5056,25-44,Female,Expats,High School,25000,shopping,JO
5057,45+,Female,Expats,High School,6200,shopping,JO
5058,18-24,Male,Locals,Graduated,170000,shopping,JO
5059,25-44,Male,Locals,Graduated,330000,shopping,JO
5060,45+,Male,Locals,Graduated,65000,shopping,JO
5061,18-24,Female,Locals,Graduated,120000,shopping,JO
5062,25-44,Female,Locals,Graduated,220000,shopping,JO
5063,45+,Female,Locals,Graduated,33000,shopping,JO
5064,18-24,Male,Locals,No Degree,230000,shopping,JO
5065,25-44,Male,Locals,No Degree,290000,shopping,JO
5066,45+,Male,Locals,No Degree,110000,shopping,JO
5067,18-24,Female,Locals,No Degree,200000,shopping,JO
5068,25-44,Female,Locals,No Degree,250000,shopping,JO
5069,45+,Female,Locals,No Degree,90000,shopping,JO
5070,18-24,Male,Locals,High School,140000,shopping,JO
5071,25-44,Male,Locals,High School,110000,shopping,JO
5072,45+,Male,Locals,High School,26000,shopping,JO
5073,18-24,Female,Locals,High School,130000,shopping,JO
5074,25-44,Female,Locals,High School,70000,shopping,JO
5075,45+,Female,Locals,High School,14000,shopping,JO
5076,18-24,Male,Expats,Graduated,42000,shopping,KW
5077,25-44,Male,Expats,Graduated,350000,shopping,KW
5078,45+,Male,Expats,Graduated,52000,shopping,KW
5079,18-24,Female,Expats,Graduated,19000,shopping,KW
5080,25-44,Female,Expats,Graduated,160000,shopping,KW
5081,45+,Female,Expats,Graduated,22000,shopping,KW
5082,18-24,Male,Expats,No Degree,120000,shopping,KW
5083,25-44,Male,Expats,No Degree,410000,shopping,KW
5084,45+,Male,Expats,No Degree,84000,shopping,KW
5085,18-24,Female,Expats,No Degree,51000,shopping,KW
5086,25-44,Female,Expats,No Degree,140000,shopping,KW
5087,45+,Female,Expats,No Degree,29000,shopping,KW
5088,18-24,Male,Expats,High School,22000,shopping,KW
5089,25-44,Male,Expats,High School,100000,shopping,KW
5090,45+,Male,Expats,High School,17000,shopping,KW
5091,18-24,Female,Expats,High School,14000,shopping,KW
5092,25-44,Female,Expats,High School,59000,shopping,KW
5093,45+,Female,Expats,High School,8100,shopping,KW
5094,18-24,Male,Locals,Graduated,5000,shopping,KW
5095,25-44,Male,Locals,Graduated,23000,shopping,KW
5096,45+,Male,Locals,Graduated,4100,shopping,KW
5097,18-24,Female,Locals,Graduated,2500,shopping,KW
5098,25-44,Female,Locals,Graduated,13000,shopping,KW
5099,45+,Female,Locals,Graduated,1900,shopping,KW
5100,18-24,Male,Locals,No Degree,19000,shopping,KW
5101,25-44,Male,Locals,No Degree,42000,shopping,KW
5102,45+,Male,Locals,No Degree,8700,shopping,KW
5103,18-24,Female,Locals,No Degree,12000,shopping,KW
5104,25-44,Female,Locals,No Degree,23000,shopping,KW
5105,45+,Female,Locals,No Degree,4600,shopping,KW
5106,18-24,Male,Locals,High School,3100,shopping,KW
5107,25-44,Male,Locals,High School,6000,shopping,KW
5108,45+,Male,Locals,High School,1200,shopping,KW
5109,18-24,Female,Locals,High School,2500,shopping,KW
5110,25-44,Female,Locals,High School,3000,shopping,KW
5111,45+,Female,Locals,High School,400,shopping,KW
5112,18-24,Male,Expats,Graduated,36000,shopping,LB
5113,25-44,Male,Expats,Graduated,73000,shopping,LB
5114,45+,Male,Expats,Graduated,10000,shopping,LB
5115,18-24,Female,Expats,Graduated,15000,shopping,LB
5116,25-44,Female,Expats,Graduated,40000,shopping,LB
5117,45+,Female,Expats,Graduated,8900,shopping,LB
5118,18-24,Male,Expats,No Degree,79000,shopping,LB
5119,25-44,Male,Expats,No Degree,110000,shopping,LB
5120,45+,Male,Expats,No Degree,19000,shopping,LB
5121,18-24,Female,Expats,No Degree,43000,shopping,LB
5122,25-44,Female,Expats,No Degree,59000,shopping,LB
5123,45+,Female,Expats,No Degree,14000,shopping,LB
5124,18-24,Male,Expats,High School,22000,shopping,LB
5125,25-44,Male,Expats,High School,28000,shopping,LB
5126,45+,Male,Expats,High School,3700,shopping,LB
5127,18-24,Female,Expats,High School,12000,shopping,LB
5128,25-44,Female,Expats,High School,17000,shopping,LB
5129,45+,Female,Expats,High School,3700,shopping,LB
