,ages_ranges,genders,behavior,scholarities,audience,topic,location
9401,45+,2.0,Expats,Graduated,2100,War,Connecticut
9402,18-24,1.0,Expats,No Degree,2200,War,Connecticut
9403,25-44,1.0,Expats,No Degree,7100,War,Connecticut
9404,45+,1.0,Expats,No Degree,3000,War,Connecticut
9405,18-24,2.0,Expats,No Degree,520,War,Connecticut
9406,25-44,2.0,Expats,No Degree,2100,War,Connecticut
9407,45+,2.0,Expats,No Degree,1700,War,Connecticut
9408,18-24,1.0,Expats,High School,2200,War,Connecticut
9409,25-44,1.0,Expats,High School,5100,War,Connecticut
9410,45+,1.0,Expats,High School,1700,War,Connecticut
9411,18-24,2.0,Expats,High School,860,War,Connecticut
9412,25-44,2.0,Expats,High School,2200,War,Connecticut
9413,45+,2.0,Expats,High School,1100,War,Connecticut
9414,18-24,1.0,Locals,Graduated,6700,War,Connecticut
9415,25-44,1.0,Locals,Graduated,25000,War,Connecticut
9416,45+,1.0,Locals,Graduated,16000,War,Connecticut
9417,18-24,2.0,Locals,Graduated,2000,War,Connecticut
9418,25-44,2.0,Locals,Graduated,14000,War,Connecticut
9419,45+,2.0,Locals,Graduated,13000,War,Connecticut
9420,18-24,1.0,Locals,No Degree,4500,War,Connecticut
9421,25-44,1.0,Locals,No Degree,7900,War,Connecticut
9422,45+,1.0,Locals,No Degree,6600,War,Connecticut
9423,18-24,2.0,Locals,No Degree,1200,War,Connecticut
9424,25-44,2.0,Locals,No Degree,3100,War,Connecticut
9425,45+,2.0,Locals,No Degree,4600,War,Connecticut
9426,18-24,1.0,Locals,High School,10000,War,Connecticut
9427,25-44,1.0,Locals,High School,18000,War,Connecticut
9428,45+,1.0,Locals,High School,10000,War,Connecticut
9429,18-24,2.0,Locals,High School,4600,War,Connecticut
9430,25-44,2.0,Locals,High School,7100,War,Connecticut
9431,45+,2.0,Locals,High School,7900,War,Connecticut
9432,18-24,1.0,Expats,Graduated,590,War,Delaware
9433,25-44,1.0,Expats,Graduated,1900,War,Delaware
9434,45+,1.0,Expats,Graduated,500,War,Delaware
9435,18-24,2.0,Expats,Graduated,160,War,Delaware
9436,25-44,2.0,Expats,Graduated,710,War,Delaware
9437,45+,2.0,Expats,Graduated,270,War,Delaware
9438,18-24,1.0,Expats,No Degree,450,War,Delaware
9439,25-44,1.0,Expats,No Degree,1400,War,Delaware
9440,45+,1.0,Expats,No Degree,380,War,Delaware
9441,18-24,2.0,Expats,No Degree,90,War,Delaware
9442,25-44,2.0,Expats,No Degree,550,War,Delaware
9443,45+,2.0,Expats,No Degree,210,War,Delaware
9444,18-24,1.0,Expats,High School,470,War,Delaware
9445,25-44,1.0,Expats,High School,990,War,Delaware
9446,45+,1.0,Expats,High School,180,War,Delaware
9447,18-24,2.0,Expats,High School,150,War,Delaware
9448,25-44,2.0,Expats,High School,480,War,Delaware
9449,45+,2.0,Expats,High School,190,War,Delaware
9450,18-24,1.0,Locals,Graduated,2100,War,Delaware
9451,25-44,1.0,Locals,Graduated,8500,War,Delaware
9452,45+,1.0,Locals,Graduated,5100,War,Delaware
9453,18-24,2.0,Locals,Graduated,630,War,Delaware
9454,25-44,2.0,Locals,Graduated,5300,War,Delaware
9455,45+,2.0,Locals,Graduated,4300,War,Delaware
9456,18-24,1.0,Locals,No Degree,1300,War,Delaware
9457,25-44,1.0,Locals,No Degree,2500,War,Delaware
9458,45+,1.0,Locals,No Degree,2000,War,Delaware
9459,18-24,2.0,Locals,No Degree,570,War,Delaware
9460,25-44,2.0,Locals,No Degree,1000,War,Delaware
9461,45+,2.0,Locals,No Degree,1700,War,Delaware
9462,18-24,1.0,Locals,High School,3100,War,Delaware
9463,25-44,1.0,Locals,High School,7000,War,Delaware
9464,45+,1.0,Locals,High School,4100,War,Delaware
9465,18-24,2.0,Locals,High School,1300,War,Delaware
9466,25-44,2.0,Locals,High School,3600,War,Delaware
9467,45+,2.0,Locals,High School,3200,War,Delaware
9468,18-24,1.0,Expats,Graduated,640,War,District of Columbia
9469,25-44,1.0,Expats,Graduated,2400,War,District of Columbia
