,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
85,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,24,18,GRAD,60000,18-24
86,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,24,18,GRAD,59000,18-24
87,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,24,18,GRAD,400000,18-24
88,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,24,18,GRAD,2300,18-24
89,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,24,18,GRAD,3300,18-24
90,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,24,18,GRAD,60000,18-24
91,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,24,18,GRAD,13000,18-24
92,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,24,18,GRAD,210000,18-24
93,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,24,18,GRAD,11000,18-24
94,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,24,18,GRAD,11000,18-24
95,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,24,18,GRAD,39000,18-24
96,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,44,25,ND,700000,25-44
97,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,44,25,ND,1500000,25-44
98,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,44,25,ND,940000,25-44
99,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,44,25,ND,170000,25-44
100,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,44,25,ND,23000,25-44
101,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,44,25,ND,140000,25-44
102,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,44,25,ND,120000,25-44
103,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,44,25,ND,600000,25-44
104,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,44,25,ND,21000,25-44
105,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,44,25,ND,19000,25-44
106,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,44,25,ND,1700000,25-44
